消防栓编号,施工地址或工程编号,工程编号,安装日期,所属公司,消防栓口径,样式,本点号,地面高程,横坐标,纵坐标,管理单位,所属区县,录入人员,录入时间,目前状况,备注,设备类别,关键字,设备类型,埋设深度,管顶高程,材质,所在道路
1271, ,,,,100,,J683637J0008,2.487,510932.446,2545334.379,,禅城区,,,, ,XHS,5732221,消防栓,-0.61,3.1, ,佛山市国家税务局办税中心西南侧                              
1274, ,,,,100,,J682638J0026A,2.574,511351.264,2545042.006,,禅城区,,,, ,XHS,5732224,消防栓,-0.76,3.33, ,本力堂大街4号门口                                           
1617, ,,2001/7/20,,0,,Jdq04132,0,512216.996,2547834.348,,禅城区,,,,消防栓,XHS,5732546, ,0,3.87, ,                                                            
1618, ,,1999/9/16,,0,,Jsw14245,0,506758.182,2545505.753,,禅城区,,,,消防栓,XHS,5732547, ,0,6.65, ,                                                            
1619, ,,2000/12/8,,0,,Jzc10715,0,508366.313,2548284.14,,禅城区,,,,消防栓,XHS,5732548, ,0,2.42, ,                                                            
1620, ,,2000/12/8,,0,,Jzc10875,0,508530.552,2548316.778,,禅城区,,,,消防栓,XHS,5732549, ,0,2, ,                                                            
1622, ,,2000/10/11,,0,,Jdf1037,0,505151.082,2549061.818,,禅城区,,,,消防栓,XHS,5732551, ,0,2.53, ,                                                            
1623, ,,2000/10/11,,0,,Jdf10324,0,505269.794,2549046.277,,禅城区,,,,消防栓,XHS,5732552, ,0,2.57, ,                                                            
1624, ,,2000/10/11,,0,,Jdf10429,0,505508.605,2549047.905,,禅城区,,,,消防栓,XHS,5732553, ,0,2.65, ,                                                            
1626, ,,2000/10/11,,0,,Jdf1046,0,505385.924,2549047.108,,禅城区,,,,消防栓,XHS,5732554, ,0,2.54, ,                                                            
1627, ,,2001/6/26,,0,,Jdf07127,0,505178.783,2549747.264,,禅城区,,,,消防栓,XHS,5732555, ,0,3.05, ,                                                            
1629, ,,1999/4/28,,0,,Jt12368,0,510251.044,2544580.391,,禅城区,,,,消防栓,XHS,5732557, ,0,0, ,                                                            
1632, ,,1999/4/28,,0,,Jt12270,0,510030.039,2544594.506,,禅城区,,,,消防栓,XHS,5732558, ,0,0, ,                                                            
85, ,,,,100,,J675593J17,2.65,499915.62,2543612.24,,南庄区,,,,,XHS,5937630,消防栓,-0.5,3.15, ,                                                            
86, ,,,,100,,J675592J8,2.46,499759.69,2543679.93,,南庄区,,,,,XHS,5937631,消防栓,-0.7,3.16, ,                                                            
87, ,,,,100,,J675592J16,2.49,499711.2,2543600.37,,南庄区,,,,,XHS,5937632,消防栓,-0.5,2.99, ,                                                            
89, ,,,,100,,J672593J19,5.13,500146.35,2542880.37,,南庄区,,,,,XHS,5937634,消防栓,-1,6.13, ,                                                            
90, ,,,,100,,J672594J9,5.58,500241.03,2542887.26,,南庄区,,,,,XHS,5937635,消防栓,-0.8,6.38, ,                                                            
91, ,,,,100,,J672592J7,3.71,499875.35,2542964.06,,南庄区,,,,,XHS,5937636,消防栓,-1,4.71, ,                                                            
92, ,,,,100,,J672592J10,3.81,499760.36,2542983.38,,南庄区,,,,,XHS,5937637,消防栓,-1,4.81, ,                                                            
